iter	Passed	Remaining
419	2447	3379
420	2452	3373
421	2458	3366
422	2463	3360
423	2469	3354
424	2475	3348
425	2480	3342
426	2486	3336
427	2491	3329
428	2497	3323
429	2502	3317
430	2508	3311
431	2514	3305
432	2519	3299
433	2525	3293
434	2532	3288
435	2537	3282
436	2543	3276
437	2548	3270
438	2554	3264
439	2559	3258
440	2565	3252
441	2571	3246
442	2576	3240
443	2582	3234
444	2588	3228
445	2593	3222
446	2600	3216
447	2605	3210
448	2611	3204
449	2616	3198
450	2622	3191
451	2627	3185
452	2633	3179
453	2638	3173
454	2644	3167
455	2649	3161
456	2655	3155
457	2660	3148
458	2666	3142
459	2673	3138
460	2679	3132
461	2685	3127
462	2691	3121
463	2697	3116
464	2703	3110
465	2709	3104
466	2714	3098
467	2720	3093
468	2726	3087
469	2732	3081
470	2738	3076
471	2744	3070
472	2750	3064
473	2755	3058
474	2761	3052
475	2767	3046
476	2773	3040
477	2778	3034
478	2784	3028
479	2790	3022
480	2795	3016
481	2801	3010
482	2806	3004
483	2812	2998
484	2817	2992
485	2823	2986
486	2829	2980
487	2834	2974
488	2840	2968
489	2846	2962
490	2851	2956
491	2857	2950
492	2862	2944
493	2868	2938
494	2874	2932
495	2880	2926
496	2886	2920
497	2891	2915
498	2897	2909
499	2903	2903
500	2908	2897
501	2914	2891
502	2919	2884
503	2925	2878
504	2930	2872
505	2936	2866
506	2941	2860
507	2947	2854
508	2952	2848
509	2958	2842
510	2964	2836
511	2969	2830
512	2975	2824
513	2980	2818
514	2986	2812
515	2991	2806
516	2997	2800
517	3002	2794
518	3008	2788
519	3014	2782
520	3021	2777
521	3027	2772
522	3032	2766
523	3038	2760
524	3043	2754
525	3049	2748
526	3055	2742
527	3060	2736
528	3066	2730
529	3071	2723
530	3077	2717
531	3082	2711
532	3088	2706
533	3094	2700
534	3099	2694
535	3105	2688
536	3111	2682
537	3116	2676
538	3121	2670
539	3127	2664
540	3133	2658
541	3138	2652
542	3144	2646
543	3149	2640
544	3155	2634
545	3161	2628
546	3166	2622
547	3172	2616
548	3178	2610
549	3183	2605
550	3189	2598
551	3195	2593
552	3200	2587
553	3206	2581
554	3211	2575
555	3217	2569
556	3223	2563
557	3228	2557
558	3234	2551
559	3240	2545
560	3245	2539
561	3251	2533
562	3256	2527
563	3262	2521
564	3267	2515
565	3273	2510
566	3279	2504
567	3284	2498
568	3290	2492
569	3295	2486
570	3301	2480
571	3307	2474
572	3312	2468
573	3318	2462
574	3324	2456
575	3329	2450
576	3335	2445
577	3340	2439
578	3346	2433
579	3352	2427
580	3358	2421
581	3363	2415
582	3369	2410
583	3375	2404
584	3380	2398
585	3386	2392
586	3391	2386
587	3397	2380
588	3403	2374
589	3408	2368
590	3414	2362
591	3419	2356
592	3425	2351
593	3431	2345
594	3436	2339
595	3442	2333
596	3448	2327
597	3453	2321
598	3459	2316
599	3465	2310
600	3470	2304
601	3476	2298
602	3482	2292
603	3488	2287
604	3493	2281
605	3499	2275
606	3505	2269
607	3511	2263
608	3517	2258
609	3523	2252
610	3528	2246
611	3534	2240
612	3539	2234
613	3545	2229
614	3551	2223
615	3557	2217
616	3563	2211
617	3569	2206
618	3574	2200
619	3580	2194
620	3585	2188
621	3591	2182
622	3596	2176
623	3602	2170
624	3608	2164
625	3614	2159
626	3619	2153
627	3625	2147
628	3630	2141
629	3636	2135
630	3642	2129
631	3647	2123
632	3653	2118
633	3658	2112
634	3664	2106
635	3670	2100
636	3675	2094
637	3681	2088
638	3687	2082
639	3692	2076
640	3698	2071
641	3703	2065
642	3709	2059
643	3714	2053
644	3720	2047
645	3726	2041
646	3731	2035
647	3737	2030
648	3742	2024
649	3748	2018
650	3753	2012
651	3759	2006
652	3765	2000
653	3770	1994
654	3776	1989
655	3781	1983
656	3787	1977
657	3793	1971
658	3799	1965
659	3804	1959
660	3810	1954
661	3816	1948
662	3822	1942
663	3827	1936
664	3833	1931
665	3838	1925
666	3844	1919
667	3850	1913
668	3855	1907
669	3861	1901
670	3867	1896
671	3872	1890
672	3878	1884
673	3884	1878
674	3889	1872
675	3895	1867
676	3900	1861
677	3906	1855
678	3912	1849
679	3917	1843
680	3923	1837
681	3929	1832
682	3934	1826
683	3940	1820
684	3945	1814
685	3951	1808
686	3956	1802
687	3962	1796
688	3968	1791
689	3973	1785
690	3979	1779
691	3984	1773
692	3990	1767
693	3995	1761
694	4001	1755
695	4007	1750
696	4013	1744
697	4019	1738
698	4024	1733
699	4030	1727
700	4035	1721
701	4041	1715
702	4047	1709
703	4052	1704
704	4058	1698
705	4064	1692
706	4069	1686
707	4075	1680
708	4081	1675
709	4086	1669
710	4092	1663
711	4097	1657
712	4103	1651
713	4109	1645
714	4114	1640
715	4119	1634
716	4125	1628
717	4131	1622
718	4137	1616
719	4142	1611
720	4148	1605
721	4154	1599
722	4160	1593
723	4165	1587
724	4171	1582
725	4176	1576
726	4182	1570
727	4188	1564
728	4193	1558
729	4199	1553
730	4204	1547
731	4210	1541
732	4216	1535
733	4222	1530
734	4227	1524
735	4233	1518
736	4238	1512
737	4244	1506
738	4250	1501
739	4255	1495
740	4261	1489
741	4267	1483
742	4273	1478
743	4279	1472
744	4284	1466
745	4290	1460
746	4295	1454
747	4301	1449
748	4307	1443
749	4313	1437
750	4318	1431
751	4324	1426
752	4329	1420
753	4335	1414
754	4341	1408
755	4346	1402
756	4351	1396
757	4357	1391
758	4363	1385
759	4368	1379
760	4374	1373
761	4379	1368
762	4385	1362
763	4391	1356
764	4396	1350
765	4402	1344
766	4408	1339
767	4413	1333
768	4418	1327
769	4424	1321
770	4430	1315
771	4435	1310
772	4441	1304
773	4447	1298
774	4452	1292
775	4458	1286
776	4463	1281
777	4469	1275
778	4474	1269
779	4480	1263
780	4485	1257
781	4491	1252
782	4497	1246
783	4503	1240
784	4509	1235
785	4515	1229
786	4520	1223
787	4526	1217
788	4532	1212
789	4538	1206
790	4543	1200
791	4549	1194
792	4555	1189
793	4561	1183
794	4566	1177
795	4572	1171
796	4578	1166
797	4583	1160
798	4589	1154
799	4594	1148
800	4600	1142
801	4606	1137
802	4611	1131
803	4617	1125
804	4623	1119
805	4629	1114
806	4634	1108
807	4640	1102
808	4646	1096
809	4652	1091
810	4657	1085
811	4663	1079
812	4669	1074
813	4674	1068
814	4680	1062
815	4686	1056
816	4691	1050
817	4697	1045
818	4703	1039
819	4708	1033
820	4714	1027
821	4719	1022
822	4725	1016
823	4731	1010
824	4736	1004
825	4742	999
826	4747	993
827	4753	987
828	4758	981
829	4764	975
830	4769	970
831	4775	964
832	4781	958
833	4786	952
834	4792	946
835	4798	941
836	4803	935
837	4809	929
838	4815	924
839	4820	918
840	4826	912
841	4832	906
842	4837	901
843	4843	895
844	4849	889
845	4854	883
846	4860	877
847	4866	872
848	4871	866
849	4877	860
850	4883	854
851	4888	849
852	4894	843
853	4899	837
854	4905	831
855	4911	826
856	4916	820
857	4922	814
858	4927	808
859	4933	803
860	4939	797
861	4944	791
862	4950	785
863	4956	780
864	4962	774
865	4967	768
866	4973	762
867	4979	757
868	4985	751
869	4991	745
870	4997	740
871	5003	734
872	5009	728
873	5014	722
874	5020	717
875	5026	711
876	5031	705
877	5037	699
878	5043	694
879	5048	688
880	5054	682
881	5059	676
882	5065	671
883	5071	665
884	5077	659
885	5082	653
886	5088	648
887	5093	642
888	5099	636
889	5104	630
890	5110	625
891	5115	619
892	5121	613
893	5127	607
894	5132	602
895	5138	596
896	5143	590
897	5149	584
898	5156	579
899	5163	573
900	5169	568
901	5175	562
902	5181	556
903	5187	550
904	5192	545
905	5198	539
906	5204	533
907	5209	527
908	5215	522
909	5220	516
910	5226	510
911	5232	504
912	5237	499
913	5243	493
914	5249	487
915	5254	481
916	5259	476
917	5265	470
918	5271	464
919	5276	458
920	5282	453
921	5287	447
922	5293	441
923	5298	435
924	5304	430
925	5309	424
926	5315	418
927	5321	412
928	5327	407
929	5332	401
930	5338	395
931	5344	389
932	5349	384
933	5355	378
934	5361	372
935	5367	366
936	5372	361
937	5378	355
938	5384	349
939	5389	344
940	5394	338
941	5400	332
942	5405	326
943	5411	321
944	5417	315
945	5423	309
946	5428	303
947	5434	298
948	5440	292
949	5446	286
950	5451	280
951	5457	275
952	5462	269
953	5468	263
954	5473	257
955	5479	252
956	5485	246
957	5491	240
958	5497	235
959	5502	229
960	5508	223
961	5514	217
962	5519	212
963	5525	206
964	5531	200
965	5536	194
966	5542	189
967	5548	183
968	5553	177
969	5559	171
970	5565	166
971	5570	160
972	5576	154
973	5581	149
974	5587	143
975	5593	137
976	5598	131
977	5604	126
978	5610	120
979	5615	114
980	5621	108
981	5626	103
982	5632	97
983	5638	91
984	5644	85
985	5650	80
986	5655	74
987	5661	68
988	5666	63
989	5672	57
990	5677	51
991	5683	45
992	5689	40
993	5695	34
994	5700	28
995	5706	22
996	5712	17
997	5718	11
998	5723	5
999	5729	0
